0	1152	1
0	1036	1
0	1294	1
0	1938	1
0	1302	1
0	1686	1
0	920	1
0	1053	1
0	928	1
0	1442	1
0	1062	1
0	1321	1
0	1579	1
0	2091	1
0	1069	1
0	1968	1
0	1204	1
0	1717	1
0	1591	1
0	1082	1
0	2109	1
0	1726	1
0	1215	1
0	1855	1
0	1096	1
0	1353	1
0	1738	1
0	1865	1
0	1872	1
0	2129	1
0	1747	1
0	1368	1
0	1880	1
0	1754	1
0	2010	1
0	1887	1
0	1250	1
0	1125	1
0	1381	1
0	1765	1
0	1131	1
0	1140	1
0	1780	1
0	1909	1
0	1402	1
0	1789	1
0	1663	1
0	5512	0
0	190	0
0	2632	0
0	4086	0
0	307	0
0	1499	0
0	2563	0
0	1217	0
0	1159	0
0	5102	0
0	3319	0
0	4185	0
0	1335	0
0	2529	0
0	4809	0
0	5377	0
0	803	0
0	7201	0
0	1629	0
0	1970	0
0	3203	0
0	6514	0
0	230	0
0	4514	0
0	4675	0
0	7593	0
0	5767	0
0	437	0
0	7126	0
0	6203	0
0	442	0
0	3170	0
0	6873	0
0	4460	0
0	7155	0
0	3728	0
0	2791	0
0	2929	0
0	1061	0
0	2425	0
0	2300	0
0	7315	0
0	1985	0
0	914	0
0	6697	0
0	183	0
0	352	0
1	2308	1
1	2157	1
1	2574	1
1	2255	1
1	2165	1
1	2425	1
1	2556	1
1	3998	0
1	3287	0
1	1532	0
1	3985	0
1	3461	0
1	4370	0
1	3144	0
2	3078	1
2	3334	1
2	2697	1
2	1036	1
2	3340	1
2	2962	1
2	920	1
2	3224	1
2	3355	1
2	2975	1
2	3106	1
2	3114	1
2	2991	1
2	2864	1
2	3123	1
2	2997	1
2	1591	1
2	2874	1
2	3132	1
2	2879	1
2	1215	1
2	3137	1
2	3263	1
2	2755	1
2	3012	1
2	3270	1
2	1353	1
2	2891	1
2	2636	1
2	3024	1
2	2651	1
2	3037	1
2	3295	1
2	2657	1
2	2787	1
2	1381	1
2	2923	1
2	3051	1
2	2670	1
2	2799	1
2	2679	1
2	2937	1
2	2810	1
2	3070	1
2	2106	0
2	636	0
2	3180	0
2	7776	0
2	7808	0
2	5131	0
2	4337	0
2	7970	0
2	5693	0
2	3141	0
2	4123	0
2	1891	0
2	1424	0
2	4529	0
2	3772	0
2	3443	0
2	3673	0
2	5417	0
2	7040	0
2	5639	0
2	2655	0
2	6274	0
2	4911	0
2	1707	0
2	8329	0
2	7668	0
2	6133	0
2	5584	0
2	6070	0
2	8708	0
2	7341	0
2	687	0
2	3044	0
2	1506	0
